"Title","Published","LastUpdated","Description","StarRating","Views","Link","Content","Thumbnail"
"Leftists EXPLODE After Joe Rogan Blast Donald Trump! Full NPC Meltdown!","7/5/2022 12:38:39 PM","7/5/2022 12:40:51 PM","","5.00/2147","20426","https://www.youtube.com/watch?v=pSWMIZjBjn0","https://www.youtube.com/v/pSWMIZjBjn0?version=3","https://i1.ytimg.com/vi/pSWMIZjBjn0/hqdefault.jpg"
"Ben Shapiro DESTROYS Twitter Over Dave Rubin & Jordan Peterson Ban! Elon Musk Under Massive Pressure","7/5/2022 11:21:33 AM","7/5/2022 11:21:33 AM","Dave Rubin & Jordan Peterson have been banned from twitter & Ben Shapiro is next.

The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/4904","35051","https://www.youtube.com/watch?v=vhrWivvEJy8","https://www.youtube.com/v/vhrWivvEJy8?version=3","https://i3.ytimg.com/vi/vhrWivvEJy8/hqdefault.jpg"
"Billionaire Moron Kim Kardashian BLASTS America On The 4th Of July Along With NPR & More","7/4/2022 2:45:59 PM","7/5/2022 1:03:25 AM","The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/8652","99582","https://www.youtube.com/watch?v=_Qe78EKmjFU","https://www.youtube.com/v/_Qe78EKmjFU?version=3","https://i4.ytimg.com/vi/_Qe78EKmjFU/hqdefault.jpg"
"SJW Worker Screws Around & Finds Out! Get's FIRED After Virtue Signaling!","7/4/2022 2:12:23 PM","7/5/2022 12:47:46 PM","The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/8980","107904","https://www.youtube.com/watch?v=uHaQMQR6-8I","https://www.youtube.com/v/uHaQMQR6-8I?version=3","https://i2.ytimg.com/vi/uHaQMQR6-8I/hqdefault.jpg"
"Woke Mob Gets Midwest Kid FIRED But He Gets The Last Laugh! Bodega Bro Strikes Back!","7/4/2022 1:10:27 PM","7/5/2022 9:23:02 AM","The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/12501","193546","https://www.youtube.com/watch?v=aXkgZ_N7q9o","https://www.youtube.com/v/aXkgZ_N7q9o?version=3","https://i2.ytimg.com/vi/aXkgZ_N7q9o/hqdefault.jpg"
"Amber Heard Just Went Full Desperation! Secret Meeting Fails & Begs Judge To Toss Case On Loophole","7/4/2022 12:09:32 PM","7/5/2022 9:40:11 AM","If you want some coffee, tea or cocoa with your hollywood weirdness check out https://www.coffeebrandcoffee.com

The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/9874","155718","https://www.youtube.com/watch?v=oqzadokdyNA","https://www.youtube.com/v/oqzadokdyNA?version=3","https://i4.ytimg.com/vi/oqzadokdyNA/hqdefault.jpg"
"Brie Larson BLASTED By The Media!! Called A Friendless LOSER & Lame!  Captain Marvel Star Blasted!","7/4/2022 11:18:43 AM","7/5/2022 8:22:33 AM","The media turns on Brie Larson!

The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/7191","94921","https://www.youtube.com/watch?v=TwkW4o9Vlys","https://www.youtube.com/v/TwkW4o9Vlys?version=3","https://i1.ytimg.com/vi/TwkW4o9Vlys/hqdefault.jpg"
"Instant Regret! Bank Gets Woke & Customers Revolt!","7/1/2022 1:42:22 PM","7/2/2022 9:40:51 PM","Woke Bank Fails! Save 82% Off Private Internet Access Today! Get PIA Below https://www.privateinternetaccess.com/TheQuarteringYT

The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/14729","164474","https://www.youtube.com/watch?v=SjyJWHWZyUQ","https://www.youtube.com/v/SjyJWHWZyUQ?version=3","https://i4.ytimg.com/vi/SjyJWHWZyUQ/hqdefault.jpg"
"Hilarious Hitpiece About Me BACKFIRES!","7/1/2022 1:17:43 PM","7/2/2022 8:52:28 PM","Classic Hitpiece Backfire! Go to https://www.establishedtitles.com/thequartering to get 10% off today

The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/10197","113157","https://www.youtube.com/watch?v=REl0kSsB0Lo","https://www.youtube.com/v/REl0kSsB0Lo?version=3","https://i3.ytimg.com/vi/REl0kSsB0Lo/hqdefault.jpg"
"Stephen Colbert DEMOLISHED For Clown Take On Supreme Court & Ratings TANKING In Compared To Gutfeld","7/1/2022 11:09:33 AM","7/3/2022 10:40:21 AM","The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/8086","100629","https://www.youtube.com/watch?v=ijf1YNJTbiI","https://www.youtube.com/v/ijf1YNJTbiI?version=3","https://i2.ytimg.com/vi/ijf1YNJTbiI/hqdefault.jpg"
"Twitters Biggest Crybully Just Got Banned!","6/30/2022 3:33:37 PM","7/2/2022 5:34:57 AM","The #1 Way To Support This Channel Is Backing Me On SubscribeStar
https://www.subscribestar.com/thequartering

Become A Youtube Member! It's The #2 BEST Way To Support!
https://www.youtube.com/channel/UCfwE_ODI1YTbdjkzuSi1Nag/join

All My Socials, Guilded Chatroom & More
https://linktr.ee/thequartering","5.00/9040","131211","https://www.youtube.com/watch?v=n38OXWdiL1E","https://www.youtube.com/v/n38OXWdiL1E?version=3","https://i3.ytimg.com/vi/n38OXWdiL1E/hqdefault.jpg"
